,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX
,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value
2017-09-25 09:00:00,4201000.0,4333000.0,4175000.0,4322000.0,132.48475499,560214613.8164,324500.0,326500.0,320000.0,325000.0,1421.85542702,459010091.79589,,,,,,,200.0,205.0,199.0,203.0,0.0213,4.3206,,,,,,,494000.0,500000.0,490000.0,493500.0,0.0212,10500.45,11900.0,12200.0,11800.0,12100.0,0.0212,255.485,,,,,,,,,,,,
2017-09-26 09:00:00,4317000.0,4418000.0,4311000.0,4321000.0,22.78833969,99507239.78705,325000.0,328500.0,320000.0,321500.0,0.0516,16747.8,,,,,,,203.0,217.0,203.0,211.0,0.0516,10.6613,,,,,,,494500.0,513000.0,493500.0,500000.0,0.0517,26118.85,12150.0,13600.0,12050.0,12850.0,0.0517,652.17,,,,,,,,,,,,
2017-09-27 09:00:00,4322000.0,4677000.0,4318000.0,4657000.0,32.2696617,144827622.95669,321000.0,342500.0,320000.0,342500.0,0.0507,16672.25,,,,,,,211.0,235.0,209.0,232.0,0.0504,11.3092,,,,,,,497500.0,515000.0,495000.0,513000.0,0.0505,25432.0,12750.0,14550.0,12700.0,14250.0,0.0502,680.28,,,,,,,,,,,,
2017-09-28 09:00:00,4657000.0,4772000.0,4519000.0,4586000.0,80.5882434,372185978.32992,342000.0,346500.0,327000.0,332500.0,0.0497,16705.75,,,,,,,233.0,235.0,215.0,222.0,0.0498,11.2001,,,,,,,514000.0,533000.0,485500.0,501000.0,0.0498,25444.1,14250.0,15600.0,13900.0,14500.0,0.0498,718.74,,,,,,,,,,,,
2017-09-29 09:00:00,4586000.0,4709000.0,4476000.0,4657000.0,59.35237346,272455756.80078,331000.0,333500.0,312500.0,327500.0,0.0523,17046.65,,,,,,,221.0,223.0,212.0,220.0,0.0523,11.4611,,,,,,,501000.0,503000.0,483500.0,492500.0,0.0523,25807.75,14500.0,15150.0,13650.0,14150.0,0.0523,745.74,,,,,,,,,,,,
2017-09-30 09:00:00,4657000.0,4896000.0,4651000.0,4895000.0,19.99848332,95614755.70559,327500.0,341500.0,327000.0,341000.0,0.0525,17575.15,,,,,,,220.0,228.0,219.0,224.0,0.0525,11.7706,,,,,,,490500.0,501000.0,484500.0,489500.0,0.0525,25855.4,14150.0,14950.0,14150.0,14750.0,0.0525,771.46,,,,,,,,,,,,
2017-10-01 09:00:00,4889000.0,4978000.0,4682000.0,4962000.0,27.32333246,133132538.89401,341000.0,344500.0,331500.0,342000.0,0.0524,17811.15,,,,,,,225.0,235.0,220.0,234.0,0.0524,11.7882,,,,,,,489500.0,496000.0,467500.0,467500.0,0.0524,25261.3,14750.0,14900.0,14350.0,14550.0,0.0524,762.58,,,,,,,,,,,,
2017-10-02 09:00:00,4962000.0,5095000.0,4956000.0,5025000.0,31.72800385,159931532.80646,342000.0,346000.0,336500.0,340000.0,0.0524,17889.55,,,,,,,235.0,237.0,227.0,232.0,0.0524,12.1925,,,,,,,467500.0,492000.0,467500.0,479500.0,0.0524,24984.1,14550.0,14750.0,14100.0,14150.0,0.0524,756.41,,,,,,,,,,,,
2017-10-03 09:00:00,5021000.0,5079000.0,4811000.0,4964000.0,11.89930699,58901304.61549,340000.0,345500.0,324000.0,338000.0,0.0487,16378.6,,,,,,,232.0,235.0,225.0,235.0,0.0489,11.3182,,,,,,,482000.0,482500.0,448000.0,462500.0,0.0482,22385.9,14250.0,14300.0,13400.0,14150.0,0.0488,677.945,,,,,,,,,,,,
2017-10-04 09:00:00,4987000.0,5002000.0,4837000.0,4895000.0,7.03874388,34588125.30359,336000.0,343000.0,333500.0,338000.0,0.0473,16030.35,,,,,,,234.0,253.0,231.0,248.0,0.047,11.2467,,,,,,,463000.0,466500.0,407000.0,413000.0,0.0464,20472.85,14150.0,14350.0,13600.0,13700.0,0.0465,646.935,,,,,,,,,,,,
2017-10-05 09:00:00,4894000.0,4993000.0,4811000.0,4926000.0,5.36365175,26371319.19136,339500.0,341500.0,333000.0,337500.0,0.0477,16107.5,,,,,,,248.0,278.0,248.0,271.0,0.0471,12.4035,,,,,,,412000.0,425500.0,399000.0,406000.0,0.0459,18741.7,13650.0,13950.0,13350.0,13600.0,0.0454,617.41,,,,,,,,,,,,
2017-10-06 09:00:00,4927000.0,5034000.0,4885000.0,5027000.0,25.16382027,123935127.5442,338000.0,357000.0,335500.0,356000.0,0.0494,16913.65,23.8,24.0,20.8,21.3,0.0333,0.74874,272.0,278.0,265.0,269.0,0.0495,13.4187,,,,,,,405500.0,426500.0,403000.0,417500.0,0.0495,20702.75,13600.0,14200.0,13500.0,14150.0,0.0499,691.61,,,,,,,,,,,,
2017-10-07 09:00:00,4983000.0,5070000.0,4935000.0,5047000.0,4.343932,21667485.97149,356000.0,360000.0,349500.0,354500.0,0.0521,18422.3,21.2,24.2,19.9,23.7,0.052,1.15705,270.0,275.0,265.0,273.0,0.0521,14.0305,,,,,,,417500.0,419000.0,404000.0,411000.0,0.0521,21462.7,14200.0,14250.0,13700.0,14050.0,0.0521,724.33,,,,,,,,,,,,
2017-10-08 09:00:00,5044000.0,5263000.0,4993000.0,5217000.0,145.91785961,738294004.47278,353000.0,357000.0,341000.0,349500.0,0.0519,18267.4,23.7,26.8,22.7,23.2,0.052,1.26314,273.0,319.0,269.0,319.0,0.0519,14.9095,,,,,,,409000.0,413000.0,379000.0,389000.0,0.0519,20929.1,14050.0,14150.0,13450.0,13700.0,0.0519,721.635,,,,,,,,,,,,
2017-10-09 09:00:00,5222000.0,5761000.0,5188000.0,5477000.0,8.07043419,43270591.14121,349500.0,354000.0,334000.0,339500.0,0.0519,17989.05,23.1,26.1,23.1,25.3,0.0519,1.29628,318.0,318.0,276.0,286.0,0.0518,15.7992,,,,,,,389000.0,392500.0,329500.0,358000.0,0.0519,19378.9,13750.0,13900.0,12800.0,13000.0,0.0519,701.56,,,,,,,,,,,,
2017-10-10 09:00:00,5469000.0,5665000.0,5459000.0,5486000.0,11.69369387,64822758.50704,340500.0,353000.0,334000.0,344000.0,0.0516,17777.95,25.3,25.7,24.4,24.7,0.0514,1.29012,286.0,307.0,276.0,298.0,0.0516,14.9609,,,,,,,357000.0,407500.0,351500.0,365500.0,0.0514,19144.95,13100.0,13350.0,12800.0,13100.0,0.0515,676.325,,,,,,,,,,,,
2017-10-11 09:00:00,5533000.0,5605000.0,5451000.0,5557000.0,4.21265003,23324891.84167,348000.0,352500.0,342500.0,348000.0,0.0511,17765.9,24.7,26.1,24.4,26.0,0.0513,1.2915,300.0,307.0,294.0,303.0,0.0512,15.3914,,,,,,,369000.0,371500.0,353500.0,362500.0,0.0511,18529.2,13200.0,13350.0,12950.0,13200.0,0.0513,674.365,,,,,,,,,,,,
2017-10-12 09:00:00,5569000.0,6377000.0,5515000.0,6332000.0,20.91828711,118992386.99591,350500.0,356500.0,345000.0,354000.0,0.0511,17956.15,26.0,31.2,25.0,30.9,0.0512,1.3958,304.0,306.0,282.0,286.0,0.0512,15.1291,,,,,,,363500.0,377000.0,352500.0,364500.0,0.0512,18569.15,13200.0,13750.0,12900.0,13700.0,0.0512,683.265,,,,,,,,,,,,
2017-10-13 09:00:00,6346000.0,6950000.0,6149000.0,6438000.0,26.82608423,175283223.76282,352000.0,400000.0,347000.0,384000.0,0.0512,19307.95,30.7,39.2,29.2,38.2,0.0512,1.66595,285.0,303.0,273.0,294.0,0.0511,14.6753,,,,,,,363000.0,370500.0,349500.0,365000.0,0.0512,18399.8,13600.0,14150.0,13150.0,13800.0,0.0511,698.41,,,,,,,,,,,,
2017-10-14 09:00:00,6427000.0,6664000.0,6322000.0,6664000.0,3.35282452,21713362.01115,384500.0,398500.0,377500.0,383000.0,0.0515,20074.65,38.4,43.2,33.2,36.7,0.0515,1.96025,296.0,305.0,287.0,287.0,0.0516,15.3153,,,,,,,364500.0,371000.0,357000.0,364000.0,0.0515,18788.55,13750.0,14200.0,13500.0,13800.0,0.0516,712.2,,,,,,,,,,,,
